Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
LMap_DHuh_C_HCo_4-3_09Jun21_Cicero_WBEH-20-09-08	HCo_4-3	Trypsin	Specific			False	Oxidation (M);Acetyl (N-term)			False	True	1	2		Standard		6435	53967	0	72200	35734	0	36466	9160	8177	0	983	12.69	22.88	NaN	2.7	3267	566613	46177	8.15	3595	7.79	68399	27820	27065	40.67	47.28	5134	18.45	+	0.5941	0.84388	0.3892	0.58227	
LMap_DHuh_C_HCo_4-4_09Jun21_Cicero_WBEH-20-09-08	HCo_4-4	Trypsin	Specific			False	Oxidation (M);Acetyl (N-term)			False	True	1	2		Standard		6442	54017	0	72293	35741	0	36552	9162	7960	0	1202	12.67	22.27	NaN	3.29	3169	559372	46398	8.29	3452	7.44	70219	28211	27411	40.18	46.77	5026	17.82	+	0.58976	0.82934	0.39591	0.58717	
LMap_DHuh_C_ECo_3-2_09Jun21_Cicero_WBEH-20-09-08	ECo_3-2	Trypsin	Specific			False	Oxidation (M);Acetyl (N-term)			False	True	1	2		Standard		6239	54576	0	73152	36000	0	37152	9438	8411	0	1027	12.9	23.36	NaN	2.76	3482	567528	46729	8.23	3569	7.64	71339	28311	27561	39.69	45.74	5085	17.96	+	0.59897	0.85014	0.40161	0.60474	
LMap_DHuh_C_ECo_3-3_09Jun21_Cicero_WBEH-20-09-08	ECo_3-3	Trypsin	Specific			False	Oxidation (M);Acetyl (N-term)			False	True	1	2		Standard		6431	54168	0	72746	35590	0	37156	9945	8710	0	1235	13.67	24.47	NaN	3.32	3631	549190	46276	8.43	3527	7.62	68574	27967	27263	40.78	47.41	5018	17.94	+	0.59868	0.85159	0.39969	0.60166	
LMap_DHuh_C_ECo_3-4_09Jun21_Cicero_WBEH-20-09-08	ECo_3-4	Trypsin	Specific			False	Oxidation (M);Acetyl (N-term)			False	True	1	2		Standard		6354	54290	0	72401	36179	0	36222	9535	8449	0	1086	13.17	23.35	NaN	3	3741	579241	46621	8.05	3379	7.25	72449	28731	28003	39.66	45.25	4917	17.11	+	0.60888	0.86213	0.40633	0.61059	
E_1-1																																16303																		
E_1-2																																17805																		
E_1-3																																17020																		
E_1-4																																10722																		
ECo_3-1																																3846																		
ECo_3-2																																3482																		
ECo_3-3																																3631																		
ECo_3-4																																3741																		
H_2-1																																13290																		
H_2-2																																20365																		
H_2-3																																19708																		
H_2-4																																17291																		
HCo_4-1																																3088																		
HCo_4-2																																3244																		
HCo_4-3																																3267																		
HCo_4-4																																3169																		
Total																	111666	841906	0	1066612	617200	0	449412	237636	219383	0	18253	22.28	35.54	NaN	4.06	36293	12117644					1531601	522012	508892	34.08	43.64	65917	12.63		0.68373	0.97	0.42051	0.62176	
